流水號,國字,審定音,詞語例或說明,備注
184,和,1.ㄏㄜˊ\n2.ㄏㄜˋ\n3.ㄏㄢˋ\n4.ㄏㄨㄛˋ\n5.˙ㄏㄨㄛ\n6.ㄏㄨˊ（限讀）,1.八千里路雲和月、大和民族\n、和平、和風、和尚、總和\n2.附和、唱和\n3.我和你\n4.和麵、和稀泥、攪和\n5.暖和、熱和\n6.和牌,作連詞使用時，於文言詞中習讀\nㄏㄜˊ。
185,呢,1.˙ㄋㄜ\n2.ㄋ丨ˊ,1.「他正忙著呢！」、「怎麼\n辦呢？」\n2.呢喃、呢絨,
186,咋,ㄗㄜˊ,咋舌,
187,咎,1.ㄍㄠ\n2.ㄐ丨ㄡˋ,1.咎陶（人名）\n2.既往不咎、咎由自取、引咎\n辭職,
188,咬,│ㄠˇ,咬牙切（ㄑ丨ㄝˋ）齒、咬文\n嚼字、一口咬定,
189,咳,1.ㄎㄜˊ\n2.ㄏㄞ,1.咳血、咳嗽\n2.咳聲歎氣,ㄎㄚˇ併讀為ㄎㄜˊ。
190,哇,1.ㄨㄚ\n2.˙ㄨㄚ,1.哇哇叫\n2.「好哇！」,
191,咽,1.丨ㄝˋ\n2.丨ㄢ,1.哽咽\n2.咽喉,
192,哄,1.ㄏㄨㄥ\n2.ㄏㄨㄥˇ,1.哄動、哄抬、哄堂大笑\n2.哄騙、哄人,
193,哈,1.ㄎㄚ\n2.ㄏㄚ\n3.ㄏㄚˇ,1.哈喇呢（毛織物）\n2.哈密瓜、哈雷彗星、哈哈大\n笑、哈腰；姓（如明代有哈\n銘）。\n3.哈巴狗、哈德門（地名）,
194,咯,1.˙ㄌㄛ\n2.ㄍㄜ\n3.ㄎㄚˇ,1.「當然咯！」、「來咯！」\n2.「母雞咯咯叫。」\n3.咯血,
195,咱,1.ㄗㄚˊ\n2.ㄗㄢˊ,1.咱家\n2.咱們,
196,咻,1.ㄒ│ㄡ\n2.ㄒㄩˇ,1.咻咻、一傅眾咻\n2.噢咻、「風氣之所咻。」（\n宋．蘇軾〈策別〉）,
197,咧,ㄌ丨ㄝˇ,齜牙咧嘴,
198,哆,1.ㄉㄨㄛ\n2.ㄔㄜˇ,1.哆嗦\n2.目瞠口哆,
199,哺,ㄅㄨˇ,哺乳、周公吐哺、嗷嗷待哺,ㄅㄨˋ、ㄆㄨˇ併讀為ㄅㄨˇ。
200,哩,1.ㄌ丨\n2.ㄌ丨ˇ\n3.˙ㄌ丨,1.囉（ㄌㄨㄛ）哩囉（ㄌㄨㄛ\n）嗦\n2.量詞（同「英里」）。\n3.「好哩！」,
201,員,1.ㄩㄢˊ\n2.ㄩㄣˊ,1.幅員、兩員大將、員工、員\n外\n2.伍員（人名）、「員于爾輻\n。」（《詩經》）,
202,哮,ㄒ丨ㄠ,咆哮、哮喘,ㄒ丨ㄠˋ併讀為ㄒ丨ㄠ。
203,哪,1.ㄋㄚˇ\n2.˙ㄋㄚ\n3.ㄋㄨㄛˊ（限讀）,1.哪個、哪知\n2.「大家加把勁哪！」、「天\n哪！」\n3.哪吒,
204,哦,1.ㄛˊ\n2.ㄜˊ,1.「哦！您就是孫先生。」\n2.吟哦,
205,唧,ㄐ丨ˊ,唧筒、唧咕、唧唧,ㄐ丨併讀為ㄐ丨ˊ。
206,唇,1.ㄓㄣ\n2.ㄔㄨㄣˊ,1.「唇，驚也。」（《說文》\n）\n2.「脣」之異體字。,
207,啪,ㄆㄚ,啪啦、劈啪,ㄆ丨ㄚ併讀為ㄆㄚ。
208,啦,1.ㄌㄚ\n2.˙ㄌㄚ,1.啪啦、啦啦隊\n2.「他來啦！」、「好啦！」,
209,啞,1.丨ㄚ\n2.丨ㄚˇ,1.啞啞、嘔啞\n2.啞巴、啞鈴、啞口無言、啞\n然失笑、瘖啞,ㄜˋ併讀為丨ㄚˇ。
210,啊,1.ㄚ\n2.˙ㄚ,1.「啊！失火了！」、「啊！\n你說甚麼？」\n2.「不錯啊！」,ㄛ併讀為ㄚ。
211,唯,ㄨㄟˊ,唯美、唯唯諾諾、唯一,ㄨㄟˇ併讀為ㄨㄟˊ。
212,啁,ㄓㄡ,啁啾、啁哳（ㄓㄚˊ）,
213,啻,ㄔˋ,不啻、何啻,ㄊ丨ˋ併讀為ㄔˋ。
214,喀,ㄎㄚ,喀血、喀什米爾、喀嚓,ㄎㄜˋ併讀為ㄎㄚ。
215,喝,1.ㄏㄜ\n2.ㄏㄜˋ,1.大吃大喝、喝湯、喝西北風\n2.喝令、喝采、呼喝,
216,喪,1.ㄙㄤ\n2.ㄙㄤˋ,1.奔喪、婚喪喜慶、喪服\n2.沮喪、喪失、喪亡,死亡義，音ㄙㄤ；逃亡、失去、\n毀滅義，音ㄙㄤˋ。
217,喔,1.ㄛ\n2.ㄨㄛˋ,1.喔唷、「喔！原來如此。」\n2.喔咿、「汝南晨雞喔喔鳴。\n」（唐．劉禹錫〈平蔡州〉\n詩）,ㄨ併讀為ㄨㄛˋ。
218,喇,ㄌㄚˇ,巴顏喀喇山、喇叭、喇嘛（˙\nㄇㄚ）,
219,喋,ㄉ丨ㄝˊ,喋喋不休、喋血,
