流水號,國字,審定音,詞語例或說明,備注
652,洞,1.ㄉㄨㄥˋ\n2.ㄊㄨㄥˊ,1.洞房花燭、洞悉、山洞\n2.鴻洞、澒（ㄏㄨㄥˋ）洞,
653,洗,1.ㄒ丨ˇ\n2.ㄒ丨ㄢˇ,1.洗滌、洗劫\n2.洗馬；姓（如明代有洗光）\n。,
654,洽,ㄑ丨ㄚˋ,洽談、融洽,ㄒ丨ㄚˊ併讀為ㄑ丨ㄚˋ。
655,洼,1.ㄍㄨㄟ\n2.ㄨㄚ,1.姓（如漢代有洼丹）。\n2.水洼、洼地,
656,洒,1.ㄒ丨ㄢˇ\n2.ㄘㄨㄟˇ\n3.ㄙㄚˇ\n4.ㄒ丨ˇ,1.洒淅、洒然、洒如\n2.「新臺有洒。」（《詩經》\n）\n3.洒家；「灑」之異體字。\n4.「洗」之異體字。,
657,洸,ㄍㄨㄤ,洸洋、「有洸有潰，既詒我肄\n。」（《詩經》）,
658,洩,1.ㄒ丨ㄝˋ\n2.丨ˋ,1.發洩、洩露\n2.洩洩,
659,浪,ㄌㄤˋ,浪費、浪子、海浪,
660,浸,ㄐ丨ㄣˋ,浸泡、浸漸、浸溼,ㄐ丨ㄣ併讀為ㄐ丨ㄣˋ。
661,浬,ㄌ丨ˇ,海浬,
662,浮,ㄈㄨˊ,漂浮、浮名、浮現、浮雲、心\n浮氣躁、人浮於事,ㄈㄡˊ併讀為ㄈㄨˊ。
663,浣,ㄨㄢˇ,浣熊、浣紗記、浣衣,
664,涎,ㄒ丨ㄢˊ,流涎、垂涎三尺,
665,涼,ㄌ丨ㄤˊ,涼亭、涼了半截、涼爽、淒涼\n、著（ㄓㄠ）涼,
666,液,丨ㄝˋ,血液、溶液、液晶顯示器,丨ˋ併讀為丨ㄝˋ。
667,淺,1.ㄑ丨ㄢˇ\n2.ㄐ丨ㄢ,1.膚淺、淺綠、淺見、淺笑、\n淺嚐\n2.淺淺,
668,淹,丨ㄢ,淹沒（ㄇㄛˋ）、淹水,丨ㄢˋ併讀為丨ㄢ。
669,混,1.ㄍㄨㄣˇ\n2.ㄏㄨㄣˋ,1.「源泉混混。」（《孟子》\n）\n2.混蛋、混沌、混合、混濁、\n混淆,ㄏㄨㄣˇ、ㄏㄨㄣˊ併讀為ㄏㄨㄣ\nˋ。
670,涿,ㄓㄨㄛˊ,涿鹿之戰、涿郡（地名）,ㄓㄨㄛ併讀為ㄓㄨㄛˊ。
671,湔,ㄐ丨ㄢ,湔雪前恥、「訾天下之主，有\n侵君者，臣請以臣之血湔其衽\n。」（《戰國策》）,
672,渣,ㄓㄚ,豆渣、殘渣,
673,湛,1.ㄉㄢ\n2.ㄓㄢˋ,1.湛溺、和樂且湛\n2.精湛、湛藍,
674,湮,丨ㄣ,湮沒、湮滅,丨ㄢ併讀為丨ㄣ。
675,渦,1.ㄍㄨㄛ\n2.ㄨㄛ,1.渦口、渦河\n2.酒渦、漩渦、渦輪,
676,湯,1.ㄊㄤ\n2.ㄕㄤ,1.杯湯、湯藥、湯圓、固若金\n湯；姓（如明代有湯顯祖）\n。\n2.湯湯,
677,渴,1.ㄎㄜˇ\n2.ㄏㄜˊ,1.渴望、口渴\n2.「水之反流者為渴。」（唐,
,,,．柳宗元〈袁家渴記〉）,
678,渾,1.ㄏㄨㄣˊ\n2.ㄏㄨㄣˋ,1.渾渾噩噩、渾濁、渾身解數\n、渾然不覺\n2.渾天儀、渾元,
679,渫,1.ㄉ丨ㄝˊ\n2.ㄒ丨ㄝˋ,1.渫渫、浹渫\n2.「井渫不食。」（《易經》\n）,
680,湫,1.ㄐ丨ㄠˇ\n2.ㄐ丨ㄡ,1.湫隘\n2.湫淵,
681,溺,ㄋ丨ˋ,溺斃、溺愛、沉溺,
682,滑,1.ㄍㄨˇ\n2.ㄏㄨㄚˊ,1.滑稽列傳（《史記》列傳）\n2.光滑、滑倒、滑頭、滑稽、\n滑雪,「滑稽」一詞：用於口語時，音\nㄏㄨㄚˊ ㄐ丨；用於文言時，\n音ㄍㄨˇ ㄐ丨。
683,溜,1.ㄌ丨ㄡ\n2.ㄌ丨ㄡˋ,1.溜冰、溜課、順口溜、醋溜\n白菜、酸溜溜\n2.一溜煙、簷溜、「他的英文\n說得很溜！」,作動詞、形容詞用時，多讀作ㄌ\n丨ㄡ；作名詞用時，多讀作ㄌ丨\nㄡˋ。
684,滄,ㄘㄤ,滄海、滄滄、滄桑,
685,溪,ㄒ丨,大甲溪、溪谷,ㄑ丨併讀為ㄒ丨。
686,漩,ㄒㄩㄢˊ,泡漩、漩渦,ㄒㄩㄢˋ併讀為ㄒㄩㄢˊ。
687,漂,1.ㄆ丨ㄠ\n2.ㄆ丨ㄠˇ\n3.ㄆ丨ㄠˋ,1.漂泊、漂浮、打水漂兒\n2.漂白、漂布、漂染\n3.漂亮,
688,漆,ㄑ丨,漆黑、漆樹、油漆、「這面牆\n才漆過。」；姓（如元代有漆\n希范）。,ㄑㄩˋ併讀為ㄑ丨。
689,漱,ㄕㄨˋ,枕石漱流、漱口水、漱洗,ㄙㄡˋ併讀為ㄕㄨˋ。
690,漸,ㄐ丨ㄢˋ,漸悟、循序漸進,
691,漲,1.ㄓㄤˇ\n2.ㄓㄤˋ,1.漲價、漲潮、水漲船高\n2.熱漲冷縮、煙塵漲天,標準線增高，音ㄓㄤˇ；體積膨\n大、物體湧起，音ㄓㄤˋ。
692,漕,ㄘㄠˊ,漕糧、漕運,ㄗㄠˋ併讀為ㄘㄠˊ。
693,漫,ㄇㄢˋ,漫山遍野、瀰漫、浪漫,ㄇㄢˊ併讀為ㄇㄢˋ。
694,漯,1.ㄊㄚˋ\n2.ㄌㄨㄛˋ,1.漯水（水名）\n2.漯河（城市名）,ㄌㄟˇ、ㄌㄨㄛˊ併讀為ㄌㄨㄛˋ\n。
695,漚,1.ㄡ\n2.ㄡˋ,1.浮漚、漚鳥\n2.漚麻、漚肥,
696,漿,1.ㄐ丨ㄤ\n2.ㄐ丨ㄤˋ（限讀）,1.豆漿、泥漿、漿果、漿洗\n2.漿糊（同「糨糊」）,
697,澄,1.ㄉㄥˋ\n2.ㄔㄥˊ,1.澄清（使清澈，動詞）、澄\n沙、沙裡澄金\n2.澄明、澄清（清澈的樣子，\n形容詞）,作動詞義時，音ㄉㄥˋ。
698,潦,1.ㄌㄠˋ\n2.ㄌ丨ㄠˊ,1.泥潦、水潦\n2.潦倒、潦草,ㄌㄠˇ併讀為ㄌㄠˋ。
699,澎,1.ㄆㄥ\n2.ㄆㄥˊ,1.澎湃、澎濞（ㄆ丨ˋ）\n2.澎湖（地名）,
700,潰,ㄎㄨㄟˋ,崩潰、潰決,ㄏㄨㄟˋ併讀為ㄎㄨㄟˋ。
701,澳,ㄠˋ,蘇澳（地名）、澳門（地名）\n、「無港澳以容舟楫。」（《\n宋史》）,
702,澹,1.ㄉㄢˋ\n2.ㄊㄢˊ（限讀）,1.澹泊\n2.澹臺（複姓，如孔子弟子澹\n臺滅明）,
703,濟,1.ㄐ丨ˇ\n2.ㄐ丨ˋ,1.濟南（地名）、人才濟濟\n2.同舟共濟、濟弱扶傾、懸壺\n濟世、無濟於事,
704,濤,ㄊㄠˊ,波濤洶湧、松濤,ㄊㄠ併讀為ㄊㄠˊ。
705,濕,1.ㄊㄚˋ\n2.ㄕ,1.濕水（古水名）\n2.「溼」之異體字。,
706,濺,1.ㄐ丨ㄢ\n2.ㄐ丨ㄢˋ,1.濺濺\n2.濺淚、水花四濺,
707,瀑,1.ㄅㄠˋ\n2.ㄆㄨˋ,1.瀑風、「揮弄灑珠，拊拂瀑\n沫。」（東晉．郭璞〈江賦\n〉）\n2.瀑布、懸瀑,
708,瀕,ㄅ丨ㄣ,瀕臨、瀕危,ㄆ丨ㄣˊ併讀為ㄅ丨ㄣ。
709,瀾,1.ㄌㄢˊ\n2.ㄌㄢˋ,1.波瀾、推波助瀾、狂瀾\n2.瀾漫、瀾汗,
710,瀰,ㄇ丨ˊ,瀰漫、瀰山遍野,ㄇ丨ˇ併讀為ㄇ丨ˊ。
711,炊,ㄔㄨㄟ,炊事、炊煙,
712,為,1.ㄨㄟˊ\n2.ㄨㄟˋ,1.天下為公、行為、事在人為\n、為非作歹、為政\n2.為民服務、為甚麼,
713,炸,1.ㄓㄚˊ\n2.ㄓㄚˋ,1.炸雞、炸醬麵、油炸\n2.轟炸、炸彈,
714,炮,1.ㄅㄠ\n2.ㄆㄠˊ\n3.ㄆㄠˋ,1.炮炒雞丁、炮羊肚\n2.炮煉、炮烙（ㄌㄨㄛˋ）、\n如法炮製\n3.鞭炮、炮彈、炮竹,
715,烙,1.ㄌㄠˋ語\n2.ㄌㄨㄛˋ讀,1.烙餅、烙印\n2.炮烙,於口語詞時，音ㄌㄠˋ；於文言\n詞時，音ㄌㄨㄛˋ。
716,焚,ㄈㄣˊ,焚風、焚化爐,
717,無,1.ㄨˊ\n2.ㄇㄛˊ（限讀）,1.無病呻吟、無名火、無理、\n無論\n2.南（ㄋㄚˊ）無,
718,煬,│ㄤˊ,隋煬帝、「煬，爍金。」（《\n集韻》）,
719,煞,1.ㄕㄚ\n2.ㄕㄚˋ,1.煞車、煞尾\n2.凶神惡煞、凶煞、煞費苦心\n、煞有介事,
720,煖,ㄋㄨㄢˇ,席不暇煖、溫煖,ㄒㄩㄢ併讀為ㄋㄨㄢˇ。
721,熙,ㄒ丨,民熙物阜、光熙、康熙,
722,熏,ㄒㄩㄣ,熏風、熏香、熏製、熏魚、臭\n氣熏人,ㄒㄩㄣˋ併讀為ㄒㄩㄣ。
723,熟,ㄕㄡˊ,半生不熟、嫻熟、熟記、耳熟\n能詳,ㄕㄨˊ併讀為ㄕㄡˊ。
724,熬,ㄠˊ,煎熬、熬夜,
725,熨,1.ㄩㄣˋ\n2.ㄩˋ（限讀）,1.熨斗、熨衣服\n2.熨貼,
726,燉,1.ㄉㄨㄣˋ\n2.ㄉㄨㄣ（限讀）,1.燉補、燉鍋\n2.燉煌（地名，同「敦煌」）,
727,燕,1.丨ㄢ\n2.丨ㄢˋ,1.北燕、後燕\n2.燕子、燕窩、燕尾服,
728,燎,ㄌ丨ㄠˊ,燎朗、星火燎原,ㄌ丨ㄠˋ、ㄌ丨ㄠˇ併讀為ㄌ丨ㄠ\nˊ。
729,燜,ㄇㄣ,燜飯、燜煮、燜燒鍋,ㄇㄣˋ併讀為ㄇㄣ。
730,燥,1.ㄗㄠˋ\n2.ㄙㄠˋ,1.乾燥、燥熱\n2.肉燥、燥子,
731,燠,ㄩˋ,寒燠、燠熱、鬱燠,ㄠˋ併讀為ㄩˋ。
732,燿,丨ㄠˋ,焜燿、熠燿、燿金為刀,ㄩㄝˋ併讀為丨ㄠˋ。
733,爆,ㄅㄠˋ,爆發、爆冷門、爆笑,
734,爪,1.ㄓㄠˇ讀\n2.ㄓㄨㄚˇ語,1.雪泥鴻爪、爪痕、爪牙、張\n牙舞爪\n2.鳥爪兒、爪子,「爪」加詞綴「子」、「兒」時\n，音ㄓㄨㄚˇ。
735,父,1.ㄈㄨˇ\n2.ㄈㄨˋ,1.仲父（指稱孔子或管仲）、\n漁父\n2.伯父、父親、仲父（叔父）,作男子美稱義時，音ㄈㄨˇ。
736,爻,丨ㄠˊ,爻象、爻辭,ㄒ丨ㄠˊ併讀為丨ㄠˊ。
737,片,ㄆ丨ㄢˋ,片刻、刀片,ㄆ丨ㄢ併讀為ㄆ丨ㄢˋ。
738,牡,ㄇㄨˇ,牡丹花、牡蠣,ㄇㄡˇ併讀為ㄇㄨˇ。
739,牠,ㄊㄚ,牠們、「牠真是一隻義犬。」,ㄊㄨㄛ併讀為ㄊㄚ。
740,犍,1.ㄐ丨ㄢ\n2.ㄑ丨ㄢˊ（限讀）,1.「買得烏犍遇歲穰。」（宋\n．陸游〈詠稻飯〉詩）\n2.犍為（地名）,
741,犛,ㄌ丨ˊ,犛牛,ㄇㄠˊ併讀為ㄌ丨ˊ。
742,猗,1.丨\n2.丨ˇ\n3.ㄜˇ（限讀）,1.「綠竹猗猗」（《詩經》）\n、「猗嗟昌兮」（《詩經》\n）\n2.「猗彼女桑」（《詩經》）\n、「猗于畝丘」（《詩經》\n）\n3.猗儺（ㄋㄨㄛˊ）,
743,猲,1.ㄏㄜˋ\n2.ㄒ丨ㄝ,1.恫疑虛猲\n2.猲獢（ㄒ丨ㄠ）,
744,獃,ㄉㄞ,發獃、獃頭獃腦、痴獃,ㄞˊ併讀為ㄉㄞ。
745,獲,ㄏㄨㄛˋ,捕獲、獲勝、獲益良多,
746,獺,ㄊㄚˋ,海獺、旱獺,ㄊㄚˇ併讀為ㄊㄚˋ。
747,率,1.ㄌㄩˋ\n2.ㄕㄨㄞˋ,1.頻率、利率、或然率、效率\n2.表率、坦率、率同、率領、\n率由舊章、草率,
748,王,1.ㄨㄤˊ\n2.ㄨㄤˋ,1.國王、拳王、王法\n2.王天下,文言動詞義，音ㄨㄤˋ。
749,玩,ㄨㄢˊ,把玩、童玩、古玩、吃喝玩樂\n、遊玩,ㄨㄢˋ併讀為ㄨㄢˊ。
750,玟,ㄨㄣˊ,「玟，玉文。」（《集韻》）,
751,瑁,ㄇㄟˋ,玳瑁,
752,瑒,1.ㄔㄤˋ\n2.丨ㄤˊ（限讀）,1.「瑒，圭尺二寸，有瓚，以\n祠宗廟者也。」（《說文》\n）\n2.應瑒（人名）,
753,璉,ㄌ丨ㄢˊ,瑚璉；「宏璉以豐敞。」（三\n國魏．何晏〈景福殿賦〉）,ㄌ丨ㄢˇ併讀為ㄌ丨ㄢˊ。
754,瑾,ㄐ丨ㄣˇ,瑾瑜、秋瑾（人名）,ㄐ丨ㄣˋ併讀為ㄐ丨ㄣˇ
755,瓦,1.ㄨㄚˇ\n2.ㄨㄚˋ,1.弄瓦之喜、瓦片、瓦楞紙\n2.「其上未瓦，其下未甃」（\n宋．陸游〈撫州廣壽禪院經\n藏記〉）,作施瓦於屋之動詞義時，音ㄨㄚ\nˋ。
756,甚,1.ㄕㄣˊ\n2.ㄕㄣˋ,1.甚麼、甚事、作甚\n2.欺人太甚、甚好、甚至,ㄕㄜˊ併讀為ㄕㄣˊ。
757,甯,ㄋ丨ㄥˋ,姓（如周朝時有甯越）。,
758,甲,ㄐ丨ㄚˇ,片甲不留、甲板、指甲,
759,甸,ㄉ丨ㄢˋ,甸後、沉甸甸,
760,町,1.ㄉ丨ㄥ\n2.ㄊ丨ㄥˇ,1.西門町\n2.町畦、「町畽（ㄊㄨㄢˇ）鹿\n場。」（《詩經》）,臺灣舊街區名，音ㄉ丨ㄥ。
761,畝,ㄇㄨˇ,公畝、畎畝,ㄇㄡˇ併讀為ㄇㄨˇ。
762,畜,1.ㄒㄩˋ\n2.ㄔㄨˋ,1.畜牧、畜產、畜養\n2.家畜、畜生,
763,畦,ㄑ丨ˊ,分畦、菜畦,ㄒ丨併讀為ㄑ丨ˊ。
764,番,1.ㄈㄢ\n2.ㄆㄢ（限讀）,1.番邦、番茄、更（ㄍㄥ）番\n、三番兩次\n2.番禺（地名）,
765,畬,1.ㄕㄜ,1.畬族、「茅茨已就治，新疇\n復應畬。」（晉．陶淵明〈\n和劉柴桑〉詩）；姓（如明\n代有畬恭）。,
,,2.ㄩˊ,2.菑畬、「畬，二歲治田也。\n」（《說文》）,
766,當,1.ㄉㄤ\n2.ㄉㄤˋ,1.門當戶對、當年、當機立斷\n、當權、當選、當時、當作\n（應該作）、安步當車\n2.當鋪、當作（視同、認為）\n、勾當、適當,
767,畿,ㄐ丨,邦畿、封畿、京畿,ㄑ丨ˊ併讀為ㄐ丨
768,疋,ㄕㄨ,「疋，足也。」（《說文》）\n；部首字。,
769,疏,ㄕㄨ,百密一疏、親疏、注疏、上疏,ㄙㄨ、ㄕㄨˋ併讀為ㄕㄨ。
770,疵,ㄘ,瑕疵、吹毛求疵,ㄘˊ併讀為ㄘ。
771,痴,ㄔ,痴迷、書痴,ㄔˊ併讀為ㄔ。
772,痾,ㄜ,沉痾、養痾,ㄎㄜ併讀為ㄜ。
773,癌,ㄞˊ,防癌、癌症,丨ㄢˊ併讀為ㄞˊ。
774,癖,ㄆ丨ˇ,癖好、季常癖、潔癖,ㄆ丨ˋ併讀為ㄆ丨ˇ。
775,癤,ㄐ丨ㄝˊ,凍癤、癤子,ㄐ丨ㄝ併讀為ㄐ丨ㄝˊ。
776,癟,1.ㄅ丨ㄝˇ\n2.ㄅ丨ㄝ（限讀）,1.乾癟、吃癟\n2.癟三,
777,癬,ㄒ丨ㄢˇ,白癬、頭癬,ㄒㄩㄢˇ併讀為ㄒ丨ㄢˇ。
778,白,ㄅㄞˊ,白費、白紙、真相大白,ㄅㄛˊ併讀為ㄅㄞˊ。
779,百,1.ㄅㄞˇ\n2.ㄅㄛˊ（限讀）,1.百分數、百感交集、百貨、\n百家姓、百無禁忌\n2.百色（地名）,
780,的,1.˙ㄉㄜ,1.美麗的、慢慢的、昨天買的\n、我的、「這麼做是不對的,
,,2.ㄉ丨ˊ\n3.ㄉ丨ˋ,！」\n2.的確\n3.標的、目的,
781,皖,ㄨㄢˇ,安徽省的簡稱。,
782,皿,ㄇ丨ㄣˇ,培養皿、器皿；部首字。,ㄇ丨ㄥˇ併讀為ㄇ丨ㄣˇ。
783,益,丨ˋ,利益、精益求精、助益、益處\n、延年益壽,丨ˊ併讀為丨ˋ。
784,盛,1.ㄔㄥˊ\n2.ㄕㄥˋ,1.盛飯、盛放、盛器\n2.興盛、盛會、盛氣凌人、盛\n情難卻；姓（清代有盛宣懷\n）。,
785,盟,ㄇㄥˊ,盟邦、海誓山盟、結盟,
786,監,1.ㄐ丨ㄢ\n2.ㄐ丨ㄢˋ,1.監督、監察院、監視、監獄\n2.祕書監、太監、國子監,
787,省,1.ㄒ丨ㄥˇ\n2.ㄕㄥˇ,1.反省、省親、省視、省悟\n2.節省、中書省、省分,
788,相,1.ㄒ丨ㄤ\n2.ㄒ丨ㄤˋ,1.互相、相親相愛、相像\n2.福相、相親、吃相、丞相,
789,看,1.ㄎㄢ\n2.ㄎㄢˋ,1.看門、看護、看守、看押\n2.看板、看病、看見、試試看,
790,盾,ㄉㄨㄣˋ,矛盾、後盾,ㄕㄨㄣˇ併讀為ㄉㄨㄣˋ。
791,睪,1.丨ˋ\n2ㄍㄠ,1.「睪，司視也。」（《說文\n》）\n2.睪丸,
792,瞑,1.ㄇ丨ㄢˋ\n2.ㄇ丨ㄥˊ,1.瞑眩\n2.瞑目、瞑想,ㄇ丨ㄥˇ併讀為ㄇ丨ㄥˊ。
793,瞭,1.ㄌ丨ㄠˇ\n2.ㄌ丨ㄠˋ,1.明瞭、瞭亮、瞭如指掌\n2.瞭望,
794,瞿,1.ㄐㄩˋ\n2.ㄑㄩˊ,1.瞿然\n2.瞿塘峽；姓（如元代有瞿信\n）。,ㄑㄩ併讀為ㄑㄩˊ。
795,矇,1.ㄇㄥ\n2.ㄇㄥˊ,1.矇騙、「我能得獎是矇上的\n。」\n2.矇昧、矇矓、矇聵,
796,矜,ㄐ丨ㄣ,好自矜誇、驕矜、矜惜、矜持,
797,知,ㄓ,求知、知府、知道、知識,
798,石,1.ㄉㄢˋ\n2.ㄕˊ,1.公石、十斗為石\n2.石頭、藥石,
799,研,丨ㄢˊ,研判、研討、研究,
800,砌,1.ㄑ丨ˋ\n2.ㄑ丨ㄝˋ,1.雕闌玉砌、堆砌、砌牆\n2.砌末（同「切末」）,
801,硼,ㄆㄥˊ,硼砂、硼酸,
802,碩,ㄕㄨㄛˋ,豐碩、碩果僅存、碩士,ㄕˊ併讀為ㄕㄨㄛˋ。
803,磅,1.ㄅㄤˋ\n2.ㄆㄤ,1.磅秤、兩磅肉、過磅\n2.磅礡,ㄅㄥˋ併讀為ㄅㄤˋ。
804,磨,1.ㄇㄛˊ\n2.ㄇㄛˋ,1.磨刀、磨練、好事多磨\n2.磨盤、磨麵、磨豆腐,凡磨子或以磨子碾碎之動作，音\nㄇㄛˋ。
805,礦,ㄎㄨㄤˋ,礦泉水、礦物、採礦,ㄍㄨㄥˇ併讀為ㄎㄨㄤˋ。
806,示,ㄕˋ,標示、提示、展示,
807,祇,1.ㄑ丨ˊ\n2.ㄓˇ,1.神祇\n2.祇是,ㄓ併讀為ㄓˇ。
808,祕,ㄇ│ˋ,便祕、祕密、祕書,ㄅ│ˋ併讀為ㄇ│ˋ。
809,票,ㄆ丨ㄠˋ,綁票、票友、支票、一票買賣\n、郵票,
810,祭,1.ㄐ丨ˋ\n2.ㄓㄞˋ,1.祭品、祭祀\n2.姓（如漢代有祭遵）。,
811,禁,1.ㄐ丨ㄣ\n2.ㄐ丨ㄣˋ,1.禁得起、禁受、弱不禁風\n2.禁止、囚禁、宵禁,
812,禧,ㄒ丨,恭賀新禧、鴻禧,ㄒ丨ˇ併讀為ㄒ丨。
813,禪,1.ㄔㄢˊ\n2.ㄕㄢˋ,1.打襌、禪機\n2.封禪、禪讓,
814,禰,1.ㄇ丨ˊ\n2.ㄋ丨ˇ,1.姓（如漢代有禰衡）。\n2.禰廟,
815,秤,1.ㄆ丨ㄥˊ\n2.ㄔㄥˋ,1.天秤（本作「天平」）\n2.磅秤、秤斤注兩,
816,秘,1.ㄅ丨ˋ\n2.ㄇ丨ˋ,1.秘魯\n2.「祕」之異體字。,
817,稍,ㄕㄠ,稍後、稍許、稍縱即逝、稍微,ㄕㄠˋ併讀為ㄕㄠ。
818,稟,ㄅ丨ㄥˇ,稟明、稟賦、稟告、稟承,ㄅ丨ㄣ併讀為ㄅ丨ㄥˇ。
819,種,1.ㄓㄨㄥˇ\n2.ㄓㄨㄥˋ,1.種類、種子\n2.接種、種田,
820,稱,1.ㄔㄥ\n2.ㄔㄥˋ,1.稱號、稱呼、稱讚、「把米\n稱一稱。」\n2.磅稱、對稱、稱心、稱職、\n勻稱,ㄔㄣˋ併讀為ㄔㄥˋ。
821,稽,1.ㄐ丨\n2.ㄑ丨ˇ,1.滑稽、稽留、稽查\n2.稽首、稽顙（ㄙㄤˇ）,
822,穢,ㄏㄨㄟˋ,穢氣、自慚形穢、汙穢,ㄨㄟˋ併讀為ㄏㄨㄟˋ。
823,穫,ㄏㄨㄛˋ,收穫、一樹百穫,
824,穰,ㄖㄤˊ,紛紛穰穰、豐穰、穰歲,ㄖㄤˇ併讀為ㄖㄤˊ。
825,穴,ㄒㄩㄝˋ,壺穴、經穴、穴居,ㄒㄩㄝˊ併讀為ㄒㄩㄝˋ。
826,究,ㄐ丨ㄡˋ,究竟、終究、研究,ㄐ丨ㄡ併讀為ㄐ丨ㄡˋ。
827,空,1.ㄎㄨㄥ\n2.ㄎㄨㄥˋ,1.天空、空檔（汽車檔位）、\n空歡喜、空間、空手\n2.空白、空乏、空檔（空閒時\n間）、空閒,
828,穹,ㄑㄩㄥ,穹谷、蒼穹,ㄑㄩㄥˊ併讀為ㄑㄩㄥ。
829,窄,ㄓㄞˇ,狹窄、窄小,ㄗㄜˊ併讀為ㄓㄞˇ。
830,窘,ㄐㄩㄥˇ,困窘、窘迫、窘態,ㄐㄩㄣˇ併讀為ㄐㄩㄥˇ。
831,竺,ㄓㄨˊ,天竺（古國名）；姓（如漢代\n有竺曾）。,
832,答,1.ㄉㄚ\n2.ㄉㄚˊ,1.答應、羞答答\n2.答數、回答,
833,箬,ㄖㄨㄛˋ,箬竹（同「篛竹」）、「青箬\n裡鹽歸峒客。」（唐．柳宗元\n〈柳州峒氓〉詩）,
834,簪,ㄗㄢ,髮簪、簪花、簪子,ㄗㄣ併讀為ㄗㄢ。
835,簿,ㄅㄨˋ,簿錄、簿子、對簿公堂、帳簿,
836,簸,1.ㄅㄛˇ\n2.ㄅㄛˋ,1.簸米、簸弄、顛簸\n2.簸籮、簸箕,
837,籠,ㄌㄨㄥˊ,燈籠、籠統、籠絡,ㄌㄨㄥˇ併讀為ㄌㄨㄥˊ。
838,粘,1.ㄋ丨ㄢˊ讀\n2.ㄓㄢ語,1.粘貼、沾粘；姓（如明代有\n粘鵬）。\n2.腸粘連,「粘」，通「黏」，讀音ㄋ丨ㄢ\nˊ，部分詞彙於口語變讀為ㄓㄢ\n。
839,粥,1.ㄓㄡ\n2.ㄩˋ\n3.ㄓㄨˋ（限讀）,1.小米粥、粥湯\n2.葷粥（ㄒㄩㄣ ㄩˋ，民族\n名）；「鬻」之異體字。\n3.粥粥,
840,粳,ㄍㄥ,粳米、粳稻,ㄐ丨ㄥ併讀為ㄍㄥ。
841,粽,ㄗㄨㄥˋ,粿粽、粽子,ㄓㄨㄥˋ併讀為ㄗㄨㄥˋ。
842,糊,ㄏㄨˊ,模糊、迷糊、麵糊、糊弄、糊\n口,ㄏㄨ併讀為ㄏㄨˊ。
843,糜,ㄇ丨ˊ,糜爛、侈糜,
844,糙,ㄘㄠ,糙米、粗糙,
845,糸,ㄇ丨ˋ,「糸，細絲也。」（《說文》\n）；部首字。,
846,糾,ㄐ丨ㄡ,糾紛、糾正、糾察、糾纏,ㄐ丨ㄡˇ併讀為ㄐ丨ㄡ。
847,紅,1.ㄏㄨㄥˊ\n2.ㄍㄨㄥ（限讀）,1.分紅、紅包、紅塵、紅色\n2.女紅,
848,紀,ㄐ丨ˋ,本紀、法紀、紀念、紀律,ㄐ丨ˇ併讀為ㄐ丨ˋ。
849,紇,ㄏㄜˊ,回紇（民族名）,
850,索,ㄙㄨㄛˇ,套索、探索、索性、索然、索\n引,ㄙㄨㄛˊ併讀為ㄙㄨㄛˇ。
851,純,ㄔㄨㄣˊ,純良、純種、純粹,
852,紕,ㄆ丨,紕繆、紕漏,
853,紮,ㄓㄚˊ,包紮、紮實、駐紮,ㄗㄚ併讀為ㄓㄚˊ。
854,累,1.ㄌㄟˇ\n2.ㄌㄟˋ,1.累犯、累積、累贅、係累\n2.勞累、連累、家累,堆疊義，音ㄌㄟˇ；疲倦、負擔\n、牽涉義，音ㄌㄟˋ。
855,結,1.ㄐ丨ㄝ\n2.ㄐ丨ㄝˊ,1.結結巴巴、結實\n2.結構、結果、結婚、繩結,
856,絡,1.ㄌㄠˋ\n2.ㄌㄨㄛˋ,1.絡子\n2.脈絡、馬絡頭、絡繹不絕、\n籠絡,
857,給,1.ㄍㄟˇ\n2.ㄐ丨ˇ,1.送給、「給我拿來！」、「\n快給他道歉！」、「我給他\n一本書。」\n2.配給、供給、口齒便給、給\n假、給事中（古官名）、給\n水、給與、加給,單獨當動詞與口語習用的新生\n詞語時，音ㄍㄟˇ；文言複詞，\n音ㄐ丨ˇ。
858,絜,ㄒ丨ㄝˊ,度長絜大、絜矩、「絜之百圍\n。」（《莊子》）,
859,綏,ㄙㄨㄟ,綏撫、綏定,ㄙㄨㄟˊ併讀為ㄙㄨㄟ。
860,綠,ㄌㄩˋ,綠豆、綠苔、綠洲,ㄌㄨˋ併讀為ㄌㄩˋ。
861,綸,1.ㄌㄨㄣˊ\n2.ㄍㄨㄢ,1.滿腹經綸、釣綸、綸絲、綸\n音\n2.羽扇綸巾,
862,綮,1.ㄑ丨ˇ\n2.ㄑ丨ㄥˋ,1.「綮，戟衣也。」（《玉篇\n》）\n2.肯綮,
863,緝,ㄑ丨ˋ,通緝、緝捕、查緝,ㄑ丨併讀為ㄑ丨ˋ。
864,緣,ㄩㄢˊ,邊緣、緣分、緣由,
865,縣,ㄒ丨ㄢˋ,縣道、縣界、縣政府,
866,縕,ㄩㄣˋ,紛縕、絪縕、縕袍,
867,縮,ㄙㄨㄛ,退縮、伸縮、縮寫,ㄙㄨˋ併讀為ㄙㄨㄛ。
868,繆,1.ㄇㄡˊ\n2.ㄇ丨ㄠˋ\n3.ㄇ丨ㄡˋ,1.繆篆、綢繆\n2.姓（如元代有繆主一）。\n3.紕繆、繆巧,
