,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
12,3151,衙,1.｜ㄚˊ\n2.ㄩˊ\n(限讀),1.衙門,2.限於「衙\n衙」一詞音\nㄩˊ。,,
13,3152,衝,1.ㄔㄨㄥ\n2.ㄔㄨㄥˋ,1.要衝、衝突\n2.衝南走、太\n衝、「衝你\n的面子。」,,,
0,3153,衣,1.｜\n2.｜ˋ,1.上衣、和衣\n而睡\n2.衣錦還鄉,,,文言動詞\n音｜ˋ。
1,3154,衪,｜ˊ,,,,
2,3155,衩,ㄔㄚˋ,,,,
3,3156,衾,ㄑ｜ㄣ,,,,
4,3157,衰,1.ㄕㄨㄞ\n2.ㄘㄨㄟ,1.衰弱\n2.斬衰、趙衰\n（人名。春\n秋時晉國大\n夫）,,,
5,*3158,衷,ㄓㄨㄥ,,,,
6,3159,衵,ㄋ｜ˋ,,,,
7,3160,衹,ㄑ｜ˊ,,,,
8,*3161,衿,ㄐ｜ㄣ,,,,
9,3162,袤,ㄇㄠˋ,,,,
10,3163,袌,ㄅㄠˋ,「袌，褱也。」\n（說文）,,通「袍」時，\n音ㄆㄠˊ。,
11,3164,袢,ㄆㄢˋ,,,,讀同「畔」、\n「絆」，依偏\n旁取音。
12,3165,,1.ㄇㄛˋ\n2.ㄨㄚˋ,1.肚\n2.「襪」的異\n體字,,,
13,3166,袘,｜ˊ,,,,
14,3167,袧,ㄍㄡ,,,,
15,3168,被,ㄅㄟˋ,棉被、被子,,通「披」時，\n音ㄆ｜。,
16,*3169,袙,ㄆㄚˋ,,,,
17,*3170,袗,ㄓㄣˇ,,,,
0,3171,,ㄍㄨㄟ,「微風動\n，組帳高\n褰。」（文\n選‧嵇康‧贈\n秀才入軍詩\n五首之五）、\n「理襟，整\n服飾。」\n（晉‧夏侯‧\n湛賦）,,通「掛」時，\n音ㄍㄨㄚˋ。,
1,3172,袺,ㄐ｜ㄝˊ,,,,
2,*3173,袾,ㄓㄨ,,,,
3,3174,袼,ㄌㄨㄛˋ,,,,
4,3175,袷,ㄐ｜ㄚˊ,,,,
5,3176,裛,｜ˋ,,,,
6,*3177,裒,ㄆㄡˊ,,,,
7,3178,,ㄍㄜˊ,,,,
8,*3179,裡,ㄌ｜ˇ,,,,
9,3180,裎,ㄔㄥˊ,,,,
10,3181,裳,1.ㄔㄤˊ\n2.‧ㄕㄤ\n(限讀),1.「綠兮衣\n兮，綠衣黃\n裳。」（詩\n經‧邶風‧\n綠衣）,2.限於「衣\n裳」一詞音\n‧ㄕㄤ。,,
11,*3182,裴,ㄆㄟˊ,,,,
12,*3183,裷,ㄩㄢ,,,,
13,*3184,裾,ㄐㄩ,,,,
14,*3185,裺,｜ㄢˇ,,,,
0,3186,裼,1.ㄒ｜ˊ\n2.ㄊ｜ˋ,1.「雖袒裼裸\n裎於我側，\n爾焉能浼我\n哉？」（孟\n子‧公孫丑\n上）\n2.「乃生女子\n載寢之地，\n載衣之裼，\n載弄之瓦。」\n（詩經‧小\n雅‧斯干）,,,
1,3187,裯,1.ㄔㄡˊ\n2.ㄉㄠ,1.「抱衾與\n裯。」（詩\n經‧召南‧\n小星）\n2.袛裯（短\n衣）,,,
2,3188,裨,1.ㄅ｜ˋ\n2.ㄆ｜ˊ,1.無裨於\n事、裨益\n2.裨諶、裨將,,,
3,*3189,褚,ㄔㄨˇ,,,,
4,3190,褎,1.｜ㄡˋ\n2.ㄒ｜ㄡˋ,1.褎然\n2.「羔裘豹\n褎。」（詩\n經‧唐風‧\n羔裘）,,,
5,*3191,褘,ㄏㄨㄟ,,,,
6,3192,褊,ㄅ｜ㄢˇ,,,,
7,3193,褕,1.ㄩˊ\n2.ㄊㄡˊ,1.襜褕、「褕\n衣甘食。」\n（史記‧淮\n陰侯傳）\n2.褕,,,
8,3194,褪,ㄊㄨㄣˋ,褪衣、褪毛,,,
0,3195,褦,ㄋㄞˋ,,,,
1,3196,褫,ㄔˇ,,,,
2,3197,褶,1.ㄉ｜ㄝˊ\n2.ㄓㄜˊ\n3.ㄓㄜˇ\n4.ㄒㄩㄝˊ,1.「帛為褶。」\n（禮記‧玉\n藻）\n2.百褶裙、褶\n曲、襞褶\n3.「衣服上淨\n是褶子。」\n4.褶子（戲\n裝）,,,
3,*3198,褸,ㄌㄩˇ,,,,
4,*3199,襂,ㄕㄢ,,,,
5,3200,襓,ㄖㄠˊ,,,,
6,3201,襆,ㄆㄨˊ,,,,
7,3202,襢,ㄓㄢˋ,襢衣,,通「袒」時，\n音ㄊㄢˇ。,
8,3203,襗,ㄗㄜˊ,,,,
9,3204,襡,1.ㄕㄨˊ\n2.ㄉㄨˊ,1.「服襡，\n炫金翠。」\n（晉書‧夏\n統傳）\n2.「斂簟而襡\n之。」（禮\n記‧內則）,,,
10,3205,襜,ㄔㄢ,,,,
11,*3206,襝,ㄌ｜ㄢˋ,,,,
12,*3207,襘,ㄍㄨㄟˋ,,,,
13,3208,襬,ㄅㄞˇ,,,,
14,*3209,襳,ㄒ｜ㄢ,,,,
0,3210,襶,ㄉㄞˋ,,,,「褦襶」（不\n合身、馬虎）\n一詞，音ㄌ\nㄜ‧ㄉㄜ，乃\n北平土音，\n刪。
1,*3211,襹,ㄕ,,,,
2,3212,襾,｜ㄚˋ,,,,
3,*3213,西,ㄒ｜,,,,
4,3214,要,1.｜ㄠˋ\n2.｜ㄠ,1.摘要、需\n要、要職\n2.要求、要\n功、要挾、\n姓（如春秋\n時吳國有要\n離）,,,
5,*3215,覂,ㄈㄥˇ,,,,
6,3216,覃,1.ㄊㄢˊ\n2.ㄑ｜ㄣˊ,1.覃思、「覃\n及鬼方。」\n（詩經‧大\n雅‧蕩）、\n姓（見通志\n氏族略）\n2.姓（如唐代\n有覃季）,,,
7,3217,見,ㄐ｜ㄢˋ,偏見、接見、\n看見、見識,,通「現」時，\n音ㄒ｜ㄢˋ。,
8,*3218,規,ㄍㄨㄟ,,,,
9,3219,覕,ㄇ｜ㄝˋ,,,,
10,*3220,視,ㄕˋ,,,,
11,3221,覘,ㄓㄢ,,,,
12,3222,覜,ㄊ｜ㄠˋ,,,,
13,3223,覛,ㄇㄛˋ,,,,
0,3224,親,1.ㄑ｜ㄣ\n2.ㄑ｜ㄥˋ,1.親戚、親\n近、親吻、\n親熱、親兄\n弟\n2.親家、親家\n母,,,
1,3225,覦,ㄩˊ,,,,
2,3226,覭,ㄇ｜ㄥˊ,,,,
3,3227,覲,ㄐ｜ㄣˋ,,,,
4,3228,覺,1.ㄐㄩㄝˊ\n2.ㄐ｜ㄠˋ,1.知覺、發\n覺、覺醒、\n覺悟、覺得\n2.睡覺,,,
5,3229,覿,ㄉ｜ˊ,,,,
6,3230,觀,1.ㄍㄨㄢ\n2.ㄍㄨㄢˋ,1.美觀、參觀\n2.道觀、貞觀\n之治,,,
7,3231,角,1.ㄐ｜ㄠˇ\n2.ㄐㄩㄝˊ\n3.ㄌㄨˋ,1.角落、號\n角、八角、\n角力、口角\n2.主角、角\n色、角宿、\n「宮、商、\n角、徵、羽\n五音。」\n3.角里（角，\n或作甪）,,,對角、角落、\n號角等義，音\nㄐ｜ㄠˇ；五\n音、戲曲演\n員、角宿等\n義，音\nㄐㄩㄝˊ。
8,3232,觖,ㄐㄩㄝˊ,,,,
9,*3233,觕,ㄘㄨ,,,,
10,*3234,觟,ㄏㄨㄚˋ,,,,
0,3235,解,1.ㄐ｜ㄝˇ\n2.ㄐ｜ㄝˋ\n3.ㄒ｜ㄝˋ,1.見解、解\n剖、解脫、\n和解、庖丁\n解牛、解悶\n2.解元、押解\n3.解縣（在山\n西省）、姓\n（如明代有\n解縉）,,,
1,3236,觜,ㄗ,,,,
2,3237,觭,ㄐ｜,,,,
3,3238,觰,ㄓㄚ,,,,
4,3239,觳,1.ㄑㄩㄝˋ\n2.ㄏㄨˊ,1.觳薄、觳土\n2.觳觫、「五\n粟之狀，剛\n而不觳。」\n（管子‧地\n員）,,,
5,3240,觶,ㄓˋ,,,,
6,3241,觺,｜ˊ,,,,
7,3242,觻,ㄌㄨˋ,,,,
8,3243,觿,ㄒ｜,,,,
9,3244,言,｜ㄢˊ,,,,
10,3245,訂,ㄉ｜ㄥˋ,,,,
11,*3246,訇,ㄏㄨㄥ,,,,
12,3247,訄,ㄑ｜ㄡˊ,,,,
13,3248,訐,ㄐ｜ㄝˊ,,,,
14,3249,訑,｜ˊ,訑訑,,通「詑」時，\n音ㄊㄨㄛ。,
15,3250,訕,ㄕㄢˋ,,,,
16,*3251,訪,ㄈㄤˇ,,,,
17,3252,訥,ㄋㄜˋ,,,,
0,3253,訬,1.ㄔㄠ\n2.ㄇ｜ㄠˇ,1.「越人有重\n遲者，而人\n謂之訬。」\n（淮南子‧\n脩務）\n2.訬婧（苗\n條）,,,
1,3254,許,ㄒㄩˇ,,,,
2,3255,訰,ㄓㄨㄣˋ,,,,
3,3256,訢,ㄒ｜ㄣ,,,,
4,*3257,訟,ㄙㄨㄥˋ,,,,
5,3258,証,ㄓㄥˋ,,,,
6,3259,詁,ㄍㄨˇ,,,,
7,*3260,詔,ㄓㄠˋ,,,,
8,3261,詛,ㄗㄨˇ,,,,
9,3262,詀,ㄓㄢ,詀諵,,通「呫」時，\n音ㄔㄜˋ。,
10,3263,詗,ㄒㄩㄥˋ,,,,
11,3264,詘,ㄑㄩ,「詘敵國，制\n海內。」（戰\n國策‧秦策\n一）,,通「黜」時，\n音ㄔㄨˋ。,
12,3265,詒,｜ˊ,「自詒伊\n祖。」（詩\n經‧邶風‧雄\n雉）,,通「紿」時，\n音ㄉㄞˋ。,
13,3266,詄,｜ˋ,,,,
14,3267,詐,ㄓㄚˋ,,,,
15,3268,詅,ㄌ｜ㄥˊ,,,,
16,3269,診,ㄓㄣˇ,,,,
17,3270,詶,ㄔㄡˊ,,,,
18,*3271,詳,ㄒ｜ㄤˊ,,,,
19,3272,詿,ㄍㄨㄚˋ,,,,
0,3273,詷,ㄉㄨㄥˋ,,,,
1,3274,誂,1.ㄉ｜ㄠˋ\n2.ㄊ｜ㄠˇ,1.「雖誂合刃\n於天下，誰\n敢在於上\n者。」（淮\n南子‧兵略）\n2.「楚人有兩\n妻者，人誂\n其長者，詈\n之；誂其少\n者，少者許\n之。」（戰\n國策‧秦策\n一）,,,
2,*3275,誃,ㄔˇ,,,,
3,3276,詵,ㄕㄣ,,,,
4,3277,詻,ㄜˋ,,,,
5,3278,詬,ㄍㄡˋ,,,,
6,3279,訾,ㄗˇ,,,,
7,*3280,詹,ㄓㄢ,,,,
8,3281,語,1.ㄩˇ\n2.ㄩˋ,1.國語、手\n語、閒言閒\n語\n2.「吾語\n汝。」、「不\n以語人。」,,,文言動詞音\nㄩˋ。
9,3282,誣,ㄨ,,,,
10,3283,誒,ㄒ｜,,,,
11,3284,誨,ㄏㄨㄟˋ,,,,
12,3285,誘,｜ㄡˋ,,,,
13,3286,誑,ㄎㄨㄤˊ,,,,
0,3287,說,1.ㄕㄨㄛ\n2.ㄕㄨㄟˋ,1.邪說、小\n說、說話、\n說明、光說\n不練\n2.說客、游說,,通「悅」時，\n音ㄩㄝˋ。,
1,3288,誼,｜ˋ,,,,
2,3289,諄,ㄓㄨㄣ,,,,
3,3290,諒,ㄌ｜ㄤˋ,,,,
4,*3291,誶,ㄙㄨㄟˋ,,,,
5,3292,誸,ㄒ｜ㄢˊ,,,,
6,3293,請,1.ㄑ｜ㄥˇ\n2.ㄐ｜ㄥˋ\n(限讀),1.請求、請\n客、請帖、\n邀請、請問,2.限於「朝\n請」一詞音\nㄐ｜ㄥˋ。,,
7,3294,諏,ㄗㄡ,,,,
8,3295,諓,ㄐ｜ㄢˋ,,,,
9,3296,調,1.ㄊ｜ㄠˊ\n2.ㄉ｜ㄠˋ,1.調羹、調\n色、調笑、\n調養、調皮\n2.租庸調\n法、聲調、\n格調、調換,,,
10,3297,誹,ㄈㄟˇ,,,,
11,3298,諉,ㄨㄟˇ,,,,
12,3299,誰,ㄕㄟˊ,,,,
13,*3300,諍,ㄓㄥ,,,,
14,3301,論,1.ㄌㄨㄣˋ\n2.ㄌㄨㄣˊ\n(限讀),1.言論、議論\n紛紛、論\n罪、爭論不\n休,2.限於「論\n語」一詞音\nㄌㄨㄣˊ。,,
15,*3302,諸,ㄓㄨ,,,,
16,3303,諛,ㄩˊ,,,,
17,3304,諠,ㄒㄩㄢ,,,,
18,*3305,諦,ㄉ｜ˋ,,,,
0,*3306,諳,ㄢ,,,,
1,3307,諢,ㄏㄨㄣˋ,,,,
2,*3308,諺,｜ㄢˋ,,,,
3,3309,諝,ㄒㄩˇ,,,,
4,*3310,諰,ㄒ｜ˇ,,,,
5,3311,諞,ㄆ｜ㄢˊ,,,,
6,3312,諷,ㄈㄥˋ,,,,
7,3313,諼,ㄒㄩㄢ,,,,
8,3314,謞,ㄏㄜˋ,,,,
9,3315,謎,ㄇ｜ˊ,,,,
10,*3316,講,ㄐ｜ㄤˇ,,,,
11,*3317,謅,ㄗㄡ,,,,
12,*3318,謏,ㄒ｜ㄠˇ,,,,
13,3319,謑,ㄒ｜ˋ,,,,
14,3320,謙,ㄑ｜ㄢ,謙虛,,通「慊」時，\n音ㄑ｜ㄝˋ。,
15,3321,謕,ㄊ｜ˊ,,,,
16,*3322,謍,｜ㄥˊ,,,,
17,3323,謈,ㄆㄛˋ,,,,
18,3324,謣,1.ㄩˊ\n2.ㄒㄩ\n(限讀),1.「謣言敗\n俗。」（漢‧\n揚雄‧法\n言‧問明）,2.限於「輿\n謣」一詞音\nㄒㄩ。,,
19,3325,謬,ㄇ｜ㄡˋ,,,,
20,*3326,謱,ㄌㄡˊ,,,,
21,3327,謾,1.ㄇㄢˊ\n2.ㄇㄢˋ,1.欺謾\n2.謾罵,,,
22,*3328,謯,ㄗㄨˇ,,,,
23,*3329,謼,ㄏㄨ,,,,
24,3330,謨,ㄇㄛˊ,,,,
25,3331,謷,ㄠˊ,,,,
0,3332,謦,ㄑ｜ㄥˋ,,,,
1,3333,識,1.ㄕˋ\n2.ㄓˋ,1.常識、識\n別、見識\n2.標識、「默\n而識之。」\n（論語‧述\n而）,,,
2,*3334,譔,ㄓㄨㄢˋ,,,,
3,3335,譊,ㄋㄠˊ,,,,
4,3336,譕,ㄇㄛˊ,,,,
5,3337,譙,ㄑ｜ㄠˊ,譙樓,,通「誚」時，\n音ㄑ｜ㄠˋ。,
6,3338,譜,ㄆㄨˇ,,,,
7,*3339,議,｜ˋ,,,,
8,3340,譟,ㄗㄠˋ,,,,
9,3341,譴,ㄑ｜ㄢˇ,,,,
10,3342,譺,ㄞˋ,,,,
11,3343,譽,ㄩˋ,,,,
12,3344,讀,1.ㄉㄨˊ\n2.ㄉㄡˋ,1.讀書、讀本\n2.句讀,,,
13,3345,讂,ㄒㄩㄢˋ,,,,
14,3346,讘,ㄓㄜˊ,,,,
15,3347,讞,｜ㄢˋ,,,,
16,3348,谷,1.ㄍㄨˇ\n2.ㄩˋ,1.山谷、「進\n退維谷。」\n（詩經‧大\n雅‧桑柔）、\n姓（如清代\n有谷應泰）\n2.吐谷渾（古\n國名）、谷\n渾（複姓）,,,
17,3349,谻,ㄐㄩㄝˊ,,,,
0,3350,谾,ㄏㄨㄥ,,,,
1,3351,豁,1.ㄏㄨㄛˋ\n2.ㄏㄨㄚˊ\n(限讀),1.豁免、豁達,2.限於「豁\n拳」一詞音\nㄏㄨㄚˊ。,,
2,3352,谿,ㄒ｜,,,,
3,*3353,豆,ㄉㄡˋ,,,,
4,3354,豈,ㄑ｜ˇ,豈有此理、豈\n敢、豈能,,通「愷」時，\n音ㄎㄞˇ。,
5,3355,豉,ㄔˇ,,,,
6,*3356,豜,ㄐ｜ㄢ,,,,
7,*3357,豚,ㄊㄨㄣˊ,,,,
8,*3358,豦,ㄐㄩˋ,,,,
9,3359,豨,ㄒ｜,,,,
10,*3360,猪,ㄓㄨ,,,,
11,3361,豫,ㄩˋ,,,,
12,3362,豲,ㄏㄨㄢˊ,,,,
13,*3363,豳,ㄅ｜ㄣ,,,,
14,3364,豸,ㄓˋ,,,,
15,3365,豻,1.ㄢˋ\n2.ㄏㄢˋ,1.「豻，胡地\n野狗。」（說\n文）\n2.「原獄刑所\n以蕃若此\n者，……姦\n不輒得，獄\n豻不平之所\n致也。」（漢\n書‧刑法志）,,,
16,3366,貉,ㄏㄜˊ,一丘之貉,,通「貊」時，\n音ㄇㄛˋ。,
17,*3367,貍,ㄌ｜ˊ,,,,
18,3368,貓,ㄇㄠ,,,,
19,3369,貙,ㄔㄨ,,,,
0,3370,貗,ㄐㄩˋ,,,,
1,3371,貞,ㄓㄣ,,,,
2,*3372,貤,｜ˊ,,,,
3,3373,責,ㄗㄜˊ,責任、責備、\n責難、職責,,通「債」時，\n音ㄓㄞˋ。,
4,*3374,貫,ㄍㄨㄢˋ,,,,
5,*3375,貪,ㄊㄢ,,,,
6,3376,貺,ㄎㄨㄤˋ,,,,
7,3377,費,ㄈㄟˋ,,,,
8,3378,賁,1.ㄅ｜ˋ\n2.ㄅㄣ,1.賁然、賁\n臨、賁卦\n2.虎賁,,,
9,3379,貰,ㄕˋ,,,,
10,3380,貿,ㄇㄠˋ,,,,
11,3381,貸,ㄉㄞˋ,,,,
12,3382,賊,ㄗㄟˊ,,,,
13,3383,賄,ㄏㄨㄟˋ,,,,
14,*3384,資,ㄗ,,,,
15,3385,賈,1.ㄐ｜ㄚˇ\n2.ㄍㄨˇ,1.姓（如唐代\n有賈公彥）\n2.商賈、賈\n利、賈禍,,通「價」時，\n音ㄐ｜ㄚˋ。,
16,3386,賃,ㄌ｜ㄣˋ,,,,
17,*3387,賑,ㄓㄣˋ,,,,
18,3388,賓,ㄅ｜ㄣ,,,,
19,3389,賜,ㄙˋ,,,,
20,3390,賢,ㄒ｜ㄢˊ,,,,
21,3391,賚,ㄌㄞˋ,,,,
22,3392,質,1.ㄓˊ\n2.ㄓˋ,1.物質、性\n質、質樸\n2.人質、典質,,,
23,3393,賺,ㄓㄨㄢˋ,,,,
0,3394,賸,ㄕㄥˋ,,,,
1,3395,贛,ㄍㄢˋ,,,,
2,3396,赨,ㄊㄨㄥˊ,,,,
3,3397,赩,ㄒ｜ˋ,,,,
4,*3398,赫,ㄏㄜˋ,,,,
5,3399,走,ㄗㄡˇ,,,,
6,3400,赳,ㄐ｜ㄡ,,,,
7,3401,赶,1.ㄑ｜ㄢˊ\n2.ㄍㄢˇ,1.「赶，獸舉\n尾走。」（廣\n韻）\n2.「趕」的異\n體字,,,
8,*3402,越,ㄩㄝˋ,,,,
9,3403,趄,ㄐㄩ,,,,
10,*3404,趁,ㄔㄣˋ,,,,
11,3405,趑,ㄗ,,,,
12,*3406,趍,ㄑㄩ,,,,
13,*3407,趙,ㄓㄠˋ,,,,
14,3408,趣,ㄑㄩˋ,興趣、旨趣、\n趣味、有趣,,通「促」時，\n音ㄘㄨˋ。,
15,*3409,趟,ㄊㄤˋ,,,,
16,3410,趠,ㄓㄨㄛˊ,,,,
17,3411,趡,ㄘㄨㄟˇ,,,,
18,3412,趨,ㄑㄩ,趨勢、趨前,,通「促」時，\n音ㄘㄨˋ。,
19,3413,趬,ㄑ｜ㄠ,,,,
20,3414,趫,ㄑ｜ㄠˊ,,,,
21,3415,趭,ㄐ｜ㄠˋ,,,,
22,3416,趯,ㄊ｜ˋ,趯趯、趯筆,,,
23,3417,趲,ㄗㄢˇ,,,,
0,3418,足,1.ㄗㄨˊ\n2.ㄐㄩˋ\n(限讀),1.手足之\n情、三足\n鼎、微不足\n道,2.限於「足\n恭」一詞音\nㄐㄩˋ。,,
1,*3419,趵,ㄅㄠˋ,,,,
2,*3420,趼,ㄐ｜ㄢˇ,,,,
3,*3421,趹,ㄐㄩㄝˊ,,,,
4,3422,跂,ㄑ｜ˊ,跂跂、跂蹻、\n「膏澤并\n愛，跂行畢\n逮。」（漢\n書‧禮樂志）,,通「企」時，\n音ㄑ｜ˋ。,
5,3423,趿,1.ㄙㄚˋ\n2.ㄊㄚ,1.「欲向何門\n趿珠履。」\n（唐‧杜\n甫‧短歌行）\n2.「他趿拉著\n鞋走路。」,,,
6,3424,跇,ㄔˋ,,,,
7,3425,跖,ㄓˊ,,,,
8,3426,跋,ㄅㄚˊ,,,,
9,3427,跕,ㄊ｜ㄝ,,,,
10,3428,跑,ㄆㄠˇ,跑步、賽跑、\n逃跑、跑新聞,,通「刨」時，\n音ㄆㄠˊ。,
11,3429,跛,1.ㄅㄛˇ\n2.ㄅ｜ˋ,1.跛腳、跛子\n2.跛倚,,,
12,3430,跚,ㄕㄢ,,,,
13,3431,跗,ㄈㄨ,,,,
14,3432,跤,ㄐ｜ㄠ,,,,
15,*3433,跰,ㄆ｜ㄢˊ,,,,
16,3434,跬,ㄎㄨㄟˇ,,,,
17,3435,跩,ㄓㄨㄞˇ,,,,
18,3436,跐,ㄘˇ,,,,
0,*3437,跳,ㄊ｜ㄠˋ,,,,
1,*3438,跦,ㄓㄨ,,,,
2,3439,跺,ㄉㄨㄛˋ,,,,
3,3440,跪,ㄍㄨㄟˋ,,,,
4,*3441,跣,ㄒ｜ㄢˇ,,,,
5,*3442,路,ㄌㄨˋ,,,,
6,3443,跧,ㄑㄩㄢˊ,,,,
7,3444,跲,ㄐ｜ㄚˊ,,,,
8,3445,跫,ㄑㄩㄥˊ,,,,
9,3446,踉,1.ㄌ｜ㄤˊ\n2.ㄌ｜ㄤˋ,1.跳踉\n2.踉蹌，音\nㄑ｜ㄤˋ,,,
10,3447,跼,ㄐㄩˊ,,,,
11,3448,踆,1.ㄘㄨㄣ\n2.ㄑㄩㄣ,1.踆鴟、「祁\n彌明逆而踆\n之。」（公\n羊傳‧宣公\n六年）\n2.踆踆、「千\n品萬官，已\n事而踆。」\n（文選‧張\n衡‧東京賦）,,,
12,3449,踅,ㄒㄩㄝˊ,,,,
13,*3450,踠,ㄨㄢˇ,,,,
14,3451,踣,ㄅㄛˊ,,,,
15,*3452,踤,ㄗㄨˊ,,,,
16,3453,踞,ㄐㄩˋ,,,,
17,3454,踑,ㄑ｜ˊ,,,,
18,3455,踖,ㄐ｜ˊ,,,,
19,3456,踐,ㄐ｜ㄢˋ,,,,
0,3457,踦,1.ㄐ｜ˇ\n2.｜ˇ,1.「踦，脛\n也。」（廣\n雅‧釋親）、\n汪踦（人\n名。春秋時\n魯國童子，\n齊伐魯，戰\n死）\n2.「膝之所\n踦。」（莊\n子‧養生主）,,通「崎嶇」之\n「崎」時，音\nㄑ｜ˊ。,
1,3458,踝,ㄏㄨㄞˊ,,,,
2,*3459,踢,ㄊ｜,,,,
3,3460,踧,1.ㄘㄨˋ\n2.ㄉ｜ˊ,1.踧踖\n2.踧踧（平坦\n貌）,,,
4,3461,踔,ㄓㄨㄛˊ,,,,
5,*3462,踩,ㄘㄞˇ,,,,
6,3463,蹁,ㄆ｜ㄢˊ,,,,
7,*3464,蹄,ㄊ｜ˊ,,,,
8,3465,蹂,ㄖㄡˊ,,,,
9,3466,踳,ㄔㄨㄣˇ,,,,
10,3467,蹀,ㄉ｜ㄝˊ,,,,
11,3468,踶,ㄉ｜ˋ,,,,
12,*3469,踼,ㄉㄤˋ,,,,
13,3470,踹,ㄔㄨㄞˋ,,,,
14,*3471,踰,ㄩˊ,,,,
15,*3472,蹇,ㄐ｜ㄢˇ,,,,
16,*3473,蹍,ㄓㄢˇ,,,,
17,3474,蹊,ㄒ｜,幽蹊、蹊蹺,,,
18,3475,蹌,1.ㄑ｜ㄤ\n2.ㄑ｜ㄤˋ,2.踉蹌,,,
19,3476,蹢,ㄓˊ,,,,
0,3477,蹣,ㄇㄢˊ,,,,
1,*3478,蹛,ㄉㄞˋ,,,,
2,3479,蹡,ㄑ｜ㄤ,,,,
3,3480,蹔,ㄓㄢˋ,,,,
4,3481,蹙,ㄘㄨˋ,,,,
5,3482,蹴,ㄘㄨˋ,,,,
6,3483,蹲,ㄉㄨㄣ,,,,
7,*3484,蹬,ㄉㄥˋ,,,,
8,3485,蹶,ㄐㄩㄝˊ,,,,
9,3486,蹼,ㄆㄨˊ,,,,
10,3487,蹻,1.ㄑ｜ㄠ\n2.ㄐ｜ㄠˇ\n3.ㄐㄩㄝˊ,1.踩高蹻\n2.蹻蹻、蹻勇\n3.「蹻然不\n固。」（呂\n氏春秋‧仲\n春紀‧情\n欲）、「躡\n蹻擔簦。」\n（史記‧虞\n卿傳）,,,
11,*3488,躇,ㄔㄨˊ,,,,
12,*3489,躅,ㄓㄨˊ,,,,
13,3490,躋,ㄐ｜,,,,
14,3491,躍,ㄩㄝˋ,,,,
15,3492,躒,1.ㄌ｜ˋ\n2.ㄌㄨㄛˋ\n(限讀),1.「荀躒以晉\n侯之命唁\n公。」（左\n傳‧昭公三\n十一年）、\n「騏驥一\n躒，不能千\n里。」（大\n戴禮記‧勸\n學）,2.限於「卓\n躒」一詞音\nㄌㄨㄛˋ。,,
0,3493,躟,ㄖㄤˇ,,,,
1,3494,躠,ㄙㄚˋ,,,,
2,3495,躤,ㄐ｜ˊ,,,,
3,3496,躦,ㄗㄨㄢ,,,,
4,3497,身,1.ㄕㄣ\n2.ㄐㄩㄢ\n(限讀),1.身體、本\n身、一顯身\n手、腰身,2.限於「身\n毒」一詞音\nㄐㄩㄢ。,,
5,3498,車,1.ㄐㄩ讀\n2.ㄔㄜ語,1.車馬炮、學\n富五車\n2.汽車、試\n車、車衣\n服、姓（如\n漢代有車\n順）,,,
6,3499,軋,1.｜ㄚˋ\n2.ㄍㄚˊ,1.軋軋、傾\n軋、「被車\n軋了！」\n2.軋頭寸,,,
7,*3500,軒,ㄒㄩㄢ,,,,
8,3501,軏,ㄩㄝˋ,,,,
9,3502,軑,ㄉㄞˋ,,,,
10,3503,軻,ㄎㄜ,孟軻（即孟\n子）、軻峨,,通「坷」時，\n音ㄎㄜˇ。,
11,3504,軺,｜ㄠˊ,,,,
12,3505,軷,ㄅㄚˊ,,,,
13,3506,軸,ㄓㄡˊ,,,,
14,*3507,軼,｜ˋ,,,,
15,3508,軥,ㄑㄩˊ,,,,
16,3509,軵,ㄈㄨˇ,,,,
17,3510,軬,ㄈㄢˋ,,,,
18,3511,較,ㄐ｜ㄠˋ,,,,
19,*3512,輆,ㄎㄞˇ,,,,
0,3513,軿,1.ㄆ｜ㄥˊ\n2.ㄆㄥ,1.軿車、輜軿\n2.軿訇,,,
1,3514,載,1.ㄗㄞˋ\n2.ㄗㄞˇ,1.刊載、文以\n載道、載重\n量、姓（如\n清代有載\n灃，光緒之\n弟）\n2.一年半\n載、千年萬\n載,,,
2,3515,輁,ㄍㄨㄥˇ,,,,
3,*3516,輅,ㄌㄨˋ,,,,
4,3517,輇,ㄑㄩㄢˊ,,,,
5,3518,輐,ㄨㄢˋ,,,,
6,*3519,輑,ㄑㄩㄣ,,,,
7,*3520,輕,ㄑ｜ㄥ,,,,
8,3521,輓,ㄨㄢˇ,,,,
9,3522,輟,ㄔㄨㄛˋ,,,,
10,3523,輛,ㄌ｜ㄤˋ,,,,
11,*3524,輘,ㄌ｜ㄥˊ,,,,
12,3525,輠,ㄍㄨㄛˇ,,,,
13,3526,輪,ㄌㄨㄣˊ,,,,
14,3527,輜,ㄗ,,,,
15,3528,輦,ㄋ｜ㄢˇ,,,,
16,3529,輶,｜ㄡˊ,,,,
17,*3530,輵,ㄍㄜˊ,,,,
18,*3531,輲,ㄔㄨㄢˊ,,,,
19,*3532,輸,ㄕㄨ,,,,
20,*3533,轄,ㄒ｜ㄚˊ,,,,
21,3534,輾,ㄓㄢˇ,輾轉、輾轉遷\n徙,,通「碾」時，\n音ㄋ｜ㄢˇ。,
0,*3535,轀,ㄨㄣ,,,,
