,流水號,國字,審定音,詞例,限讀說明,通假說明,備注
5,0102,倩,ㄑ｜ㄢˋ,,,,
6,0103,倔,1.ㄐㄩㄝˊ\n2.ㄐㄩㄝˋ,1.倔起、倔強\n2.倔脾氣、倔\n巴棍子,,,
7,0104,倆,1.ㄌ｜ㄤˇ\n2.ㄌ｜ㄚˇ,1.伎倆\n2.哥兒倆,,,
8,0105,值,ㄓˊ,,,,
9,0106,,ㄌㄞˊ,,,,
10,0107,倒,1.ㄉㄠˇ\n2.ㄉㄠˋ,1.倒閉、跌\n倒、倒塌、\n顛倒\n2.倒影、倒轉,,,
11,0108,俺,1.ㄢˇ\n2.｜ㄢˋ,1.俺家\n2.「俺，大\n也。」（說\n文）,,,
12,0109,倘,ㄊㄤˇ,倘若,,通「徜」時，\n音ㄔㄤˊ。,
13,0110,俱,ㄐㄩˋ,,,,
14,0111,倡,1.ㄔㄤˋ\n2.ㄔㄤ,1.提倡\n2.倡優,,,
0,0112,個,1.ㄍㄜˋ\n2.ㄍㄜˇ\n(限讀),1.一個、個\n子、個性、個\n人,2.限於「自個\n兒」一詞音\nㄍㄜˇ。,,
1,0113,俶,ㄔㄨˋ,俶裝、令終\n有俶，公尸嘉\n告。（詩\n經‧大雅‧既\n醉）,,通「倜」時，\n音ㄊ｜ˋ。,
2,*0114,倗,ㄆㄥˊ,,,,
3,*0115,倜,ㄊ｜ˋ,,,,
4,0116,倭,ㄨㄛ,,,,
5,0117,俾,ㄅ｜ˋ,,,,
6,*0118,倉,ㄘㄤ,,,,
7,*0119,健,ㄐ｜ㄢˋ,,,,
8,0120,假,1.ㄐ｜ㄚˇ\n2.ㄐ｜ㄚˋ,1.假借、假裝\n2.假期、放假,,通「格」時，\n音ㄍㄜˊ。通\n「遐」時，音\nㄒ│ㄚˊ。,
9,0121,偋,ㄅ｜ㄥˇ,,,,
10,0122,偪,ㄈㄨˊ,偪陽（古國\n名）,,通「逼」時，\n音ㄅ｜。,
11,0123,偕,ㄒ｜ㄝˊ,,,,
12,0124,偞,｜ㄝˋ,,,,
13,0125,側,ㄘㄜˋ,,,,
14,0126,偈,1.ㄐ｜ㄝˊ\n2.ㄐ｜ˋ,1.「伯兮偈\n兮。」（詩\n經‧衛風‧\n伯兮）、「偈\n偈乎揭仁義\n而行。」（莊\n子‧天道）\n2.偈句、偈語,,,
